Price,Close,High,Low,Open,Volume
Ticker,VCB,VCB,VCB,VCB,VCB
Date,,,,,
2020-10-13,86500.0,86900.0,85500.0,86000.0,814530
2020-10-14,88200.0,89000.0,86700.0,86800.0,1206380
2020-10-15,88600.0,88600.0,86800.0,88200.0,1424740
2020-10-16,88200.0,88600.0,87500.0,88500.0,668850
2020-10-19,87500.0,88300.0,87500.0,88000.0,1052250
2020-10-20,87700.0,87800.0,86900.0,87000.0,1075780
2020-10-21,86200.0,88600.0,85900.0,87800.0,1452050
2020-10-22,86600.0,86600.0,85100.0,86100.0,1320610
2020-10-23,87500.0,87500.0,86700.0,86900.0,657830
2020-10-26,86000.0,87800.0,86000.0,87500.0,911390
2020-10-27,86000.0,87300.0,85500.0,86000.0,1169320
2020-10-28,84200.0,86500.0,83500.0,86000.0,866330
2020-10-29,83600.0,84800.0,83500.0,84400.0,764720
2020-10-30,83000.0,84400.0,82800.0,83600.0,1090610
2020-11-02,85800.0,85800.0,83000.0,83000.0,366300
2020-11-03,85000.0,85900.0,84700.0,85800.0,308550
2020-11-04,85000.0,85500.0,84300.0,85000.0,394660
2020-11-05,85000.0,85500.0,84800.0,85500.0,507960
2020-11-06,85000.0,85100.0,84000.0,85100.0,323160
2020-11-09,85500.0,85800.0,84800.0,85000.0,1007000
2020-11-10,85100.0,87300.0,85100.0,86100.0,1511520
2020-11-11,84900.0,86600.0,84900.0,85500.0,1032520
2020-11-12,86400.0,86500.0,85600.0,85700.0,405350
2020-11-13,86900.0,86900.0,86200.0,86600.0,417840
2020-11-16,85800.0,87800.0,85000.0,87200.0,1250340
2020-11-17,87600.0,87600.0,85500.0,85800.0,548250
2020-11-18,87600.0,87700.0,87000.0,87600.0,906810
2020-11-19,90200.0,90200.0,87400.0,87700.0,2584440
2020-11-20,92500.0,92500.0,90100.0,91000.0,1231960
2020-11-23,91600.0,92400.0,91000.0,92100.0,648830
2020-11-24,92400.0,92400.0,90800.0,92000.0,996580
2020-11-25,93500.0,94200.0,92300.0,92500.0,1088020
2020-11-27,94500.0,94500.0,93200.0,94000.0,1210580
2020-11-30,93000.0,94000.0,91500.0,93700.0,1448340
2020-12-01,92000.0,93200.0,90700.0,90700.0,1162270
2020-12-02,93500.0,93500.0,91500.0,92000.0,746710
2020-12-03,93500.0,93900.0,92400.0,93500.0,736760
2020-12-04,91100.0,93500.0,91100.0,93200.0,860900
2020-12-07,93100.0,93300.0,91400.0,91400.0,945460
2020-12-08,93100.0,93900.0,91500.0,93000.0,702820
2020-12-09,96500.0,96500.0,93200.0,93600.0,1198160
2020-12-10,97200.0,97700.0,96400.0,96500.0,1299820
2020-12-11,97200.0,97300.0,95900.0,97200.0,776190
2020-12-14,99900.0,99900.0,95900.0,97200.0,931080
2020-12-15,97800.0,99800.0,96500.0,99000.0,1433260
2020-12-16,99900.0,99900.0,97800.0,98500.0,740700
2020-12-17,96000.0,98600.0,95000.0,98600.0,2305960
2020-12-18,98900.0,98900.0,96000.0,96000.0,1053200
2020-12-21,98900.0,99000.0,97300.0,98900.0,697030
2020-12-22,97900.0,98100.0,97500.0,98000.0,748840
2020-12-23,97500.0,98500.0,96900.0,97500.0,666390
2020-12-24,97300.0,97900.0,96000.0,97900.0,815730
2020-12-28,98000.0,98200.0,97300.0,98000.0,836090
