Price,Close,High,Low,Open,Volume,Week
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-12-10,21.011581420898438,21.05769274704411,20.834820115796155,20.896302372607934,37625800,2010-12-06
2010-12-13,20.94240951538086,21.096115859632846,20.880927270850535,20.957780442976528,47943900,2010-12-13
2010-12-14,21.226764678955078,21.326672771287015,20.950093860417013,20.98851971150185,64070500,2010-12-13
2010-12-15,21.403526306152344,21.511119863715788,21.157597336948882,21.157597336948882,69634200,2010-12-13
2010-12-16,21.511117935180664,21.511117935180664,21.257503525195336,21.334356687644377,57680200,2010-12-13
2010-12-17,21.44194984436035,21.58797070376421,21.326670835716097,21.457320769740154,87456500,2010-12-13
2010-12-20,21.372787475585938,21.511122906795634,21.272879367408095,21.48038251422264,52811000,2010-12-20
2010-12-21,21.572608947753906,21.626405743597243,21.33436536651081,21.403533094267313,38153000,2010-12-20
2010-12-22,21.664831161499023,21.826221534786633,21.503439322358794,21.52649571819386,42252300,2010-12-20
2010-12-23,21.749364852905273,21.764735780991998,21.488064938840484,21.495750402883846,24902500,2010-12-20
2010-12-27,21.572608947753906,21.672518539336746,21.426588026284314,21.611036277536826,21652800,2010-12-27
2010-12-28,21.52649688720703,21.649461406633165,21.488069558728427,21.49575502442415,23042200,2010-12-27
2010-12-29,21.495758056640625,21.611038592485343,21.426590321474958,21.472703122154005,19502500,2010-12-27
2010-12-30,21.403526306152344,21.51880532723493,21.34972952737062,21.457323084934064,20786100,2010-12-27
2010-12-31,21.449644088745117,21.457329554581523,21.234455442883934,21.36510543039738,24752000,2010-12-27
2011-01-03,21.50343894958496,21.65714532078225,21.457327624566812,21.557235739748233,53443800,2011-01-03
2011-01-04,21.587976455688477,21.649458707736954,21.403529699543043,21.472697416329147,54405600,2011-01-03
2011-01-05,21.518802642822266,21.52648810538267,21.3420414014893,21.44194948307034,58998700,2011-01-03
2011-01-06,22.149003982543945,22.172060378623982,21.411216898214377,21.54955234298933,88026300,2011-01-03
2011-01-07,21.97992706298828,22.087520641040445,21.710941652005314,22.010667457066376,73762000,2011-01-03
2011-01-10,21.687883377075195,21.82621880306661,21.549549416936216,21.718625234341037,57573600,2011-01-10
2011-01-11,21.603342056274414,21.710935604356056,21.557229279223293,21.67250975599894,50298900,2011-01-10
2011-01-12,21.941497802734375,21.972239659953456,21.572604311220005,21.611031632743856,52631100,2011-01-10
2011-01-13,21.664831161499023,21.818536069508276,21.52649571819386,21.772424743690763,67077600,2011-01-10
2011-01-14,21.749364852905273,21.81084709939979,21.449639084476058,21.58028904150845,62688400,2011-01-10
2011-01-18,22.026033401489258,22.08751564158164,21.626398107962675,21.641769034448828,53322700,2011-01-17
2011-01-19,21.88001251220703,22.04140430846431,21.726307645038258,21.87232704897076,50005900,2011-01-17
2011-01-20,21.787790298461914,21.94149516854697,21.618713035760415,21.90306931748877,58613600,2011-01-17
2011-01-21,21.53418731689453,21.849284153790702,21.53418731689453,21.82622775138865,58080300,2011-01-17
2011-01-24,21.81084632873535,21.949181744923163,21.511120570896644,21.534176962212054,52047800,2011-01-24
2011-01-25,21.864643096923828,21.864643096923828,21.611028673009855,21.62639813366204,42436600,2011-01-24
2011-01-26,22.11825942993164,22.279649774601424,21.9030708378529,21.91075630176847,74628800,2011-01-24
2011-01-27,22.187429428100586,22.640860119074436,21.895387632592502,22.095205317452635,146938600,2011-01-24
2011-01-28,21.326671600341797,22.233535708334124,21.096113574787083,22.21047931943778,141249400,2011-01-24
2011-01-31,21.311304092407227,21.44195405206967,21.073060565676567,21.342045949199523,65029000,2011-01-31
2011-02-01,21.511117935180664,21.564914709139344,21.21907767689689,21.3650970731127,62810700,2011-01-31
